MissionID,MissionNameShort,MissionNameFull,MissionAgencies,MissionStatus,LaunchDate,EOLDate,Applications,Instruments,InstrumentIDs,OrbitType,OrbitAltitude,OrbitPeriod,OrbitInclination,RepeatCycle,OrbitLST,OrbitLongitude,OrbitSense,MissionSite,DataAccessPortal
751,Arctica-M N2,Hydro-meteorological Satellite Arctica-M N2,"ROSKOSMOS, ROSHYDROMET",Planned,2021,2031,"Meteorology, oceanography, including ice cover monitoring, enviromental climate and disaster monitoring in the Arctic region.","GGAK-VE, MSU-GS/VE","1685, 1691",Highly elliptical,,720 mins,63.4 deg,1,,,Ascending,https://www.laspace.ru/projects/information-systems/arctica-m/,
812,Arctica-M N3,Hydro-meteorological Satellite Arctica-M N3,"ROSKOSMOS, ROSHYDROMET",Planned,2023,2033,"Meteorology, oceanography, including ice cover monitoring, enviromental climate and disaster monitoring in the Arctic region.","GGAK-VE, MSU-GS/VE","1685, 1691",Highly elliptical,,720 mins,63.4 deg,1,,,Ascending,https://www.laspace.ru/projects/information-systems/arctica-m/,
871,Arctica-M N4,Hydro-meteorological Satellite Arctica-M N4,"ROSKOSMOS, ROSHYDROMET",Planned,2024,2034,"Meteorology, oceanography, including ice cover monitoring, enviromental climate and disaster monitoring in the Arctic region.","GGAK-VE, MSU-GS/VE","1685, 1691",Highly elliptical,,720 mins,63.4 deg,1,,,Ascending,https://www.laspace.ru/projects/information-systems/arctica-m/,
872,Arctica-M N5,Hydro-meteorological Satellite Arctica-M N5,"ROSKOSMOS, ROSHYDROMET",Planned,2025,2035,"Meteorology, oceanography, including ice cover monitoring, enviromental climate and disaster monitoring in the Arctic region.","GGAK-VE, MSU-GS/VE","1685, 1691",Highly elliptical,,720 mins,63.4 deg,1,,,Ascending,https://www.laspace.ru/projects/information-systems/arctica-m/,
691,Arkon-2M,Arkon-2M,ROSKOSMOS,Cancelled,31-Dec-15,31-Dec-20,Earth observations and weather information.,Arkon-2M SAR,1599,Sun-synchronous,500 km,,,,,,,http://www.federalspace.ru,
645,ASCENDS,"Active Sensing of CO2 Emissions over Nights, Days, and Seasons",NASA,Cancelled,3-Apr-22,3-Jul-25,"Phase-2 DS Mission, launch order unknown, 3-year nominal mission. Day/night, all-latitude, all-season CO2 column integrals for climate emissions.","CO Sensor (ASCENDS), CO2 and O2 LIDAR (ASCENDS)","1535, 1534",Sun-synchronous,450 km,97.3 mins,,,10:30,,Ascending,http://cce.nasa.gov/ascends/index.htm,
622,ATHENA FIDUS,Access on THeaters and European Nations for Allied forces opportunities - French Italian Dual Use Satellite,"CNES, ASI",Cancelled,15-Jul-12,15-Jul-27,Broadband communication satellite for institutinal services and applications.,RTT,1509,Geostationary,35790 km,1440 mins,0 deg,,,25,N/A,,
863,ATMSAT-1,Atmospheric Satellite-1,ISRO,Considered,2022,2025,provide atmosphere temperature and humidity profiles data and enhance global day and night weather forecasting.,MATHS,1807,Sun-synchronous,720 km,,98 deg,,6:00,,Descending,,
207,Aura,Aura (formerly EOS Chemistry),"NASA, NSO, FMI, NIVR, UKSA",Currently being flown,15-Jul-04,Sep-20,"6-year nominal mission life, currently in extended operations. Measurements of aerosol and cloud properties for climate predictions, using a 3-channel lidar and passive instruments in formation with CloudSat for coincident observations of radiative fluxes and atmospheric state.","HiRDLS, MLS (EOS-Aura), OMI, TES","351, 126, 630, 349",Sun-synchronous,705 km,98.8 mins,98.2 deg,16,13:38,,Ascending,http://aura.gsfc.nasa.gov/,https://search.earthdata.nasa.gov/search?q=AURA
670,AWiFSSAT,Advance Wide Field Sensor Satellite,ISRO,N/A,1-Jan-12,1-Jan-16,Natural resources management; agricultural applications; forestry etc.,AWiFS,460,Sun-synchronous,817 km,102 mins,98.72 deg,4,,,Descending,,
474,Baumanets,,ROSKOSMOS,Mission complete,5-Dec-05,31-Dec-06,"Experimental satellite for data transmission, remote sensing, and spacecraft management.",OEA,850,Sun-synchronous,700 km,,98 deg,,,,,,
471,BelKA,,ROSKOSMOS,Mission complete,1-Jan-06,1-Jan-06,Regular imaging of terrestrial sites in visible and near IR ranges with high spatial resolution. Failed on launch.,"MSS (Kanonpus), PSS","835, 834",Sun-synchronous,505 km,,97.4 deg,,,,,,
560,BILSAT,BILSAT Research Satellite,TUBITAK,Mission complete,1-Sep-03,1-Aug-06,"Cartography, land cover/land use, city planning, disaster mitigation/monitoring, environmental monitoring.","BILSAT VNIR Multispectral, BILSAT VNIR Panchromatic, COBAN","911, 910, 909",Sun-synchronous,686 km,98.45 mins,98.15 deg,4,10:30,,,http://www.uzay.tubitak.gov.tr/,
768,BIOMASS,BIOMASS,ESA,Approved,Jul-22,Jan-28,Will provide global maps of forest biomass and height (at 200 m resolution) and forest disturbance (at 50 m resolution) every 6 months,P-Band SAR,1722,Sun-synchronous,660 km,102.6 mins,97.97 deg,,6:00,,Ascending,,
390,BIRD,Bi-spectral Infrared Detection,DLR,Mission complete,22-Oct-01,31-Dec-05,Small satellite mission with technical and scientific objectives (Study of thermal processes on the Earth surface) objectives.,"HSRS, WAOSS-B","698, 699",Sun-synchronous,572 km,,97.8 deg,,10:30,,Descending,http://spacesensors.dlr.de/SE/bird/,
605,BJ-1,Beijing-1 Small Satellite,NRSCC,Mission complete,27-Oct-05,27-Oct-10,Earth Observation.,"MSI (BJ-1), PAN (BJ-1)","976, 977",Sun-synchronous,686 km,,98.17 deg,,,,TBD,http://www.blmit.com.cn,
787,BJ-2,Beijing-2 Constellation,"NRSCC, 21AT",Currently being flown,11-Jul-15,Jul-22,High-resolution domestic mapping. Operational monitoring applications including urban planning and intelligent management. Constellation of three satellites spaced 120 degrees apart.,"MSI (BJ-2), PAN (BJ-2)","1748, 1747",Sun-synchronous,651 km,,,,,,,,
422,CALIPSO,Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observations,"NASA, CNES",Currently being flown,28-Apr-06,Sep-20,"3-year nominal mission life, currently in extended operations. Measurements of aerosol and cloud properties for climate predictions, using a 3 channel lidar and passive instruments in formation with Aqua and CloudSat for coincident observations of radiative fluxes and atmospheric state.","CALIOP, IIR, WFC","820, 696, 642",Sun-synchronous,688 km,98.8 mins,98.2 deg,,13:30,,Ascending,http://www-calipso.larc.nasa.gov/,https://search.earthdata.nasa.gov/search?fp=CALIPSO
854,CARBONITE-1,CARBONITE-1,UKSA,Mission complete,10-Jul-15,30-Nov-18,Optical video imaging in a technology demonstration mission. Designed to demonstrate rapid-build techniques and to test COTS components and new avionics in orbit.,CARBONITE-1 Imager,1795,Sun-synchronous,646 km,97.7 mins,97.9 deg,,10:30,,Ascending,http://www.sstl.co.uk,
855,CARBONITE-2,CARBONITE-2,UKSA,Currently being flown,12-Jan-18,Dec-20,Optical video imaging in a technology demonstration mission. Second satellite in the CARBONITE series of technology demonstration missions designed to demonstrate rapid-build techniques and to test COTS components and new avionics in orbit.,CARBONITE-2 Imager,1796,Sun-synchronous,500 km,94.6 mins,97.5 deg,,10:30,,Ascending,http://www.sstl.co.uk,
275,CARTOSAT-1,Cartography Satellite - 1,ISRO,Mission complete,5-May-05,1-Jan-19,High precision large-scale cartographic mapping of 1:10000 scale and thematic applications (with merged XS data) at 1:4000 scales.,PAN (Cartosat-1),796,Sun-synchronous,618 km,97 mins,97.87 deg,5,10:30,,Descending,http://www.isro.org/,
696,CARTOSAT-1A,Cartography Satellite -1A,ISRO,N/A,1-Aug-14,1-Aug-19,"Ensure the continuity of high resolution imaging capability with multispectral capability, stereo imaging and hyperspectral imaging.","HYSI (Cartosat-3/3A), HYSI (IRS-1A)-VNIR, MX (Cartosat-3), PAN (IRS-1A)","1613, 1612, 1611, 1610",Sun-synchronous,,,,,,,,,
697,CARTOSAT-1B,Cartosat -1B,ISRO,N/A,1-Mar-17,1-Mar-22,"Ensure the continuity of high resolution imaging capability with multispectral capability, stereo imaging and hyperspectral imaging.","HYSI (Cartosat-3/3A), HYSI (IRS-1A)-VNIR, MX (Cartosat-3), PAN (IRS-1A)","1613, 1612, 1611, 1610",Sun-synchronous,,,,,,,,,
374,CARTOSAT-2,Cartography Satellite - 2,ISRO,Currently being flown,10-Jan-07,Oct-19,High precision large-scale cartographic mapping of 1:10000 scale and thematic applications (with merged XS data) at 1:4000 scales.,PAN (Cartosat-2),436,Sun-synchronous,635 km,97.4 mins,97.87 deg,5,9:30,,Descending,http://www.isro.org/,
703,CARTOSAT-2A,Cartography Satellite - 2A,ISRO,Currently being flown,28-Apr-08,Apr-20,High precision large-scale cartographic mapping of 1:10000 scale and thematic applications (with merged XS data) at 1:4000 scales.,PAN (Cartosat-2A/2B),1586,Sun-synchronous,635 km,97.4 mins,97.87 deg,5,9:30,,Descending,,
672,CARTOSAT-2B,Cartography Satellite - 2B,ISRO,Currently being flown,12-Jul-10,Jul-20,High precision large-scale cartographic mapping of 1:10000 scale and thematic applications (with merged XS data) at 1:4000 scales.,PAN (Cartosat-2A/2B),1586,Sun-synchronous,635 km,97.4 mins,97.87 deg,5,9:30,,Descending,,
704,CARTOSAT-2C,Cartography Satellite - 2C,ISRO,N/A,31-Jul-14,31-Jul-18,High precision large-scale cartographic mapping and thematic applications with MX data at 1:4000 scales.,"HRMX, PAN (Cartosat-2C/2E)","1603, 1647",Sun-synchronous,635 km,97.4 mins,97.87 deg,5,9:30,,Descending,,
738,CARTOSAT-2E,Cartography Satellite - 2E,ISRO,Currently being flown,23-Jun-17,Jun-22,High precision large-scale cartographic mapping and thematic applications with MX data at 1:4000 scales.,"HRMX, PAN (Cartosat-2C/2E)","1603, 1647",Sun-synchronous,500 km,97.4 mins,97.87 deg,5,9:30,,Descending,,
565,CARTOSAT-3,Cartography Satellite - 3,ISRO,Currently being flown,27-Nov-19,Nov-24,Suitable for cadastral and infrastructure mapping and analysis.,"MX (Cartosat-3), PAN (Cartosat-3)","1611, 917",Sun-synchronous,450 km,,97.9 deg,,10:30,,Descending,http://www.isro.org/,
784,CAS500-1,Compact Advanced Satellite 500 -1,"KARI, KAI, NGII",Approved,May-20,May-24,"Cartography, land use and planning",High Resolution Optical Sensor,1740,Sun-synchronous,528 km,98.5 mins,98.1 deg,28,10:50,,Ascending,,
905,CAS500-2,Compact Advanced Satellite 500 -2,"KARI, KAI, NGII",Approved,May-21,May-25,"Cartography, land use and planning",High Resolution Optical Sensor,1740,Sun-synchronous,528 km,98.5 mins,98.1 deg,28,10:50,,Ascending,,
779,CATS-on-ISS,International Space Station/Cloud-Aerosol Transport System,NASA,Mission complete,10-Jan-15,30-Sep-18,"The Cloud-Aerosol Transport System (CATS) is a lidar remote sensing instrument that will provide range-resolved profile measurements of atmospheric aerosols and clouds from the International Space Station (ISS). CATS is intended to operate on-orbit for at least six months, and up to three years.",CATS,1735,"Inclined, non-sun-synchronous",425 km,90 mins,51 deg,,,,,http://cats.gsfc.nasa.gov/,https://search.earthdata.nasa.gov/search?q=CATS
265,CBERS-1,China Brazil Earth Resources Satellite - 1,"CRESDA, INPE",Mission complete,14-Oct-99,12-Oct-03,"Earth resources, environmental monitoring, land surface (joint with INPE).","CCD, DCS , IR-MSS, WFI","409, 822, 410, 406",Sun-synchronous,778 km,100.26 mins,98.5 deg,26,10:50,,Descending,http://www.cbers.inpe.br/en/programas/cbers1-2.htm,
267,CBERS-2,China Brazil Earth Resources Satellite - 2,"CRESDA, INPE",Mission complete,21-Oct-03,10-Jan-09,"Earth resources, environmental monitoring, land surface (joint with INPE).","CCD, DCS , IR-MSS, WFI","409, 822, 410, 406",Sun-synchronous,778 km,100.26 mins,98.5 deg,26,10:50,,Descending,http://www.cbers.inpe.br/en/programas/cbers1-2.htm,
460,CBERS-2B,China Brazil Earth Resources Satellite - 2B,"INPE, CRESDA",Mission complete,19-Sep-07,16-Apr-10,"Earth resources, environmental monitoring, land surface (joint with INPE).","CCD, DCS , HRC, WFI","409, 822, 1520, 406",Sun-synchronous,778 km,,98.5 deg,26,10:30,,Descending,http://www.cbers.inpe.br/en/programas/cbers1-2.htm,
392,CBERS-3,China Brazil Earth Resources Satellite - 3,"INPE, CRESDA",N/A,10-Dec-13,10-Dec-13,"Earth resources, environmental monitoring, land surface. Launch failure.","DCS , IRS, MUX, PAN (CBERS), WFI-2","822, 866, 818, 867, 817",Sun-synchronous,778 km,100.3 mins,98.5 deg,26,10:30,,Descending,http://www.cresda.com/,
393,CBERS-4,China Brazil Earth Resources Satellite - 4,"INPE, CRESDA",Currently being flown,7-Dec-14,Dec-19,"Earth resources, environmental monitoring, land surface.","DCS , IRS, MUX, PAN (CBERS), WFI-2","822, 866, 818, 867, 817",Sun-synchronous,778 km,100.3 mins,98.5 deg,26,10:30,,Descending,http://www.cbers.inpe.br/,http://www.inpe.br/catalogo
775,CBERS-4A,China Brazil Earth Resources Satellite - 4,"INPE, CRESDA",Planned,2019,2024,"Earth resources, environmental monitoring, land surface.","DCS, MUX (CBERS-4A), WFI (CBERS-4A), WPM","822, 1731, 1732, 1733",Sun-synchronous,629 km,97.3 mins,97.9 deg,31,10:30,,Descending,http://www.cbers.inpe.br/,http://www.inpe.br/catalogo
725,CDARS,CDARS,"NOAA, USAF",Considered,2022,2025,Maintain three-orbit continuity for the Argos and SARSAT-COSPAS programs.,"ARGOS-4, S&R (NOAA)","694, 189",Sun-synchronous,,,,,,,Ascending,http://www.nesdis.noaa.gov/jpss/,
723,CFOSAT,Chinese-French Oceanic SATellite,"CNES, CNSA",Currently being flown,29-Oct-18,Oct-21,The primary objective of CFOSAT is to monitor at the global scale the wind and waves at the ocean surface.,"SCAT, SWIM","1645, 1644",Sun-synchronous,519 km,94.7 mins,97.5 deg,,7:00,,Descending,,
256,CHAMP,Challenging Mini-Satellite Payload for Geophysical Research and Application,DLR,Mission complete,15-Jul-00,19-Sep-10,"Gravity field, precise geoid, magnetic field, atmospheric physics.","CHAMP GPS Sounder, CHAMP Gravity Package (Accelerometer+GPS), CHAMP Magnetometry Package (1 Scalar + 2 Vector Magnetometer)","432, 430, 431","Inclined, non-sun-synchronous",315 km,,87 deg,,,,N/A,http://op.gfz-potsdam.de/champ/index_CHAMP.html,
778,CLARREO Pathfinder-on-ISS,International Space Station/Climate Absolute Radiance & Reflectivity Observatory Pathfinder,NASA,Planned,2022,2024,1 year nominal mission. The goal of the Climate Absolute Radiance and Refractivity Observatory (CLARREO) mission is to improve our understanding of climate change by providing high accuracy measurements of the change in key climate variables over decadal timescales. CLARREO Pathfinder is a technical demonstration on the ISS and a major step in reducing the cost and technical risk for these high accuracy measurements.,CLARREO Pathfinder Reflected Solar (hyperspectral,1736,"Inclined, non-sun-synchronous",425 km,90 mins,51 deg,,,,Ascending,http://clarreo.larc.nasa.gov/about-pathfinder.html,
643,CLARREO-1,Climate Absolute Radiance and Refractivity Observatory,"NASA, NOAA",Cancelled,30-Oct-17,30-Oct-20,"Phase-1 DS Mission (follows SMAP and ICESAT-2), 3-year nominal mission. Solar radiation: spectrally resolved forcing and response of the climate system.","IR spectrometer (CLARREO), Occultation GNSS Receiver (CLARREO)","1528, 1527","Inclined, non-sun-synchronous",650 km,,90 deg,365,,,,http://nasascience.nasa.gov/missions/clarreo,
688,CLARREO-2,Climate Absolute Radiance and Refractivity Observatory,"NASA, NOAA",Cancelled,30-Oct-19,30-Oct-22,"Phase-1 DS Mission (follows SMAP and ICESAT-2), 3-year nominal mission. Solar radiation: spectrally resolved forcing and response of the climate system.","Occultation GNSS Receiver (CLARREO), Solar reflected spectrometer (CLARREO)","1527, 1529","Inclined, non-sun-synchronous",650 km,,90 deg,365,,,,http://nasascience.nasa.gov/missions/clarreo,http://clarreo.larc.nasa.gov/
689,CLARREO-3,Climate Absolute Radiance and Refractivity Observatory,"NASA, NOAA",Cancelled,30-Oct-20,30-Oct-23,"Phase-1 DS Mission (follows SMAP and ICESAT-2), 3-year nominal mission. Solar radiation: spectrally resolved forcing and response of the climate system.","IR spectrometer (CLARREO), Occultation GNSS Receiver (CLARREO)","1528, 1527","Inclined, non-sun-synchronous",650 km,,90 deg,365,,,,http://nasascience.nasa.gov/missions/clarreo,http://clarreo.larc.nasa.gov/
690,CLARREO-4,Climate Absolute Radiance and Refractivity Observatory,"NASA, NOAA",Cancelled,30-Oct-20,30-Oct-23,"Phase-1 DS Mission (follows SMAP and ICESAT-2), 3-year nominal mission. Solar radiation: spectrally resolved forcing and response of the climate system.","Occultation GNSS Receiver (CLARREO), Solar reflected spectrometer (CLARREO)","1527, 1529","Inclined, non-sun-synchronous",650 km,,90 deg,365,,,,http://nasascience.nasa.gov/missions/clarreo,http://clarreo.larc.nasa.gov/
347,CloudSat,CloudSat,"NASA, DoD (USA), CSA",Currently being flown,28-Apr-06,Sep-20,"22-month nominal mission life, currently in extended operations. CloudSat uses advanced radar to ""slice"" through clouds to see their vertical structure, providing a completely new observational capability from space. First use of active 94 GHz radar from space to study clouds on global basis.",CPR (CloudSat),649,Sun-synchronous,689 km,98.8 mins,98.2 deg,,13:30,,Ascending,http://cloudsat.atmos.colostate.edu/,https://search.earthdata.nasa.gov/search?q=CloudSat
524,COMS,"Communication, Oceanographic, Meteorological Satellite","KMA, KIOST, KARI, ASTRIUM",Currently being flown,26-Jun-10,Mar-21,Korea's geostationary meteorological satellite series.,"GOCI, MI","886, 894",Geostationary,36000 km,,,,,128.2,N/A,,
482,COSMIC-1 FM1,COSMIC-1 FM1,"NOAA, NSPO, UCAR",Currently being flown,14-Apr-06,Dec-19,"Meteorology, ionosphere and climate.","GOX, TIP","881, 1743","Inclined, non-sun-synchronous",800 km,100 mins,72 deg,,,,Ascending,http://www.cosmic.ucar.edu/,
483,COSMIC-1 FM2,COSMIC-1 FM2,"NOAA, NSPO, UCAR",Mission complete,14-Apr-06,31-Dec-18,"Meteorology, ionosphere and climate.","GOX, TIP","881, 1743","Inclined, non-sun-synchronous",800 km,100 mins,72 deg,,,,Ascending,http://www.cosmic.ucar.edu/,
484,COSMIC-1 FM3,COSMIC-1 FM3,"NOAA, NSPO, UCAR",Mission complete,14-Apr-06,5-Jul-10,"Meteorology, ionosphere and climate.","GOX, TIP","881, 1743","Inclined, non-sun-synchronous",711 km,100 mins,72 deg,,,,Ascending,http://www.cosmic.ucar.edu/,
485,COSMIC-1 FM4,COSMIC-1 FM4,"NOAA, NSPO, UCAR",Mission complete,14-Apr-06,31-Dec-18,"Meteorology, ionosphere and climate. The FM-4 satellite is currently in a severely degraded state.","GOX, TIP","881, 1743","Inclined, non-sun-synchronous",800 km,100 mins,72 deg,,,,Ascending,http://www.cosmic.ucar.edu/,
486,COSMIC-1 FM5,COSMIC-1 FM5,"NOAA, NSPO, UCAR",Mission complete,14-Apr-06,31-Dec-18,"Meteorology, ionosphere and climate.","GOX, TIP","881, 1743","Inclined, non-sun-synchronous",800 km,100 mins,72 deg,,,,Ascending,http://www.cosmic.ucar.edu/,
487,COSMIC-1 FM6,COSMIC-1 FM6,"NOAA, NSPO, UCAR",Currently being flown,14-Apr-06,Dec-19,"Meteorology, ionosphere and climate.","GOX, TIP","881, 1743","Inclined, non-sun-synchronous",800 km,100 mins,72 deg,,,,Ascending,http://www.cosmic.ucar.edu/,
771,COSMIC-2A (Equatorial),COSMIC-2A (Equatorial),"NOAA, NSPO, UCAR",Currently being flown,25-Jun-19,Jan-26,"This is a radio occultation mission supporting meteorology and ionosphere & climate measurements. The 12-satellite COSMIC-2A/2B constellation (6 equatorial and 6 polar) will produce over 4 times the daily total of occultation events as COSMIC-1 (3000 versus 12,000). This provides the capability to reconstruct the 3D ionospheric electron density structures for ionospheric space weather monitoring within a dramatically short data accumulation period. TGRS will receive signals from GPS, Galileo, and Glonass. The actual launch date in dependent upon the scheduling and success of the new Falcon Heavy launch vehicle. The April 2018 launch date is a ""no earlier than"" date.","IVM, RF Beacon, TGRS","1745, 1744, 1725",,520 km,,24 deg,,,,Ascending,http://www.cosmic.ucar.edu/,
786,COSMIC-2B (Polar),COSMIC-2B (Polar),"NOAA, UCAR",Cancelled,,,"This is a radio occultation mission supporting meteorology and ionosphere & climate measurements. The 12-satellite COSMIC-2A/2B constellation (6 equatorial and 6 polar) will produce over 4 times the daily total of occultation events as COSMIC-1 (3000 versus 12,000). This provides the capability to reconstruct the 3D ionospheric electron density structures for ionospheric space weather monitoring within a dramatically short data accumulation period. TGRS will receive signals from GPS, Galileo, and Glonass. COSMIC-2B will be a ride-share mission; the listed orbital parameters are desired and TBC. At present, the U.S. portion of the COSMIC-2B program is unfunded, and alternatives are being pursued.",TGRS,1725,,720 km,,72 deg,,,,TBD,http://www.cosmic.ucar.edu/,
395,COSMO-SkyMed 1,COnstellation of small Satellites for Mediterranean basin Observation - 1,"ASI, MoD (Italy)",Currently being flown,8-Jun-07,Dec-19,"Environmental monitoring, surveillance and risk management applications, environmental resources management, maritime management, earth topographic mapping, law enforcement, informative / science applications.",SAR 2000,704,Sun-synchronous,620 km,97.1 mins,97.8 deg,16,6:00,,Ascending,http://www.asi.it/en/activity/earth_observation/cosmoskymed,
